Id,DR,Codigo_Unidade,Nome_Unidade,Cod_Sistec,CNPJ,Polo,Unidades_Operacionais,Cat_Unid_Operacionais,Responsavel,Tel_Resp,Email_Resp,Chave_Imovel_DR,Nome_TipoUnidade,Cod_TipoUnidade,Endereco_Numero,Endereco_Logradouro,Endereco_Complemento,Endereco_CEP,Endereco_Bairro,Endereco_Cidade,Endereco_UF,Endereco_Vinculo,Data_Ocorrencia,Versao,MesAnoApuracao,Regional,Ativo
290,PR,1,SENAC - UNIDADE DE EDUCACAO PROFISSIONAL E TECNOLOGICA DE CURITIBA CENTRO,739,03541088000813,1,1,0,MARCO ANTONIO DE OLIVEIRA BISS,4132194700,CURITIBACENTRO@PR.SENAC.BR,1,fixa,1,750,RUA  ANDRE DE BARROS,NULL,80010080,CENTRO,CURITIBA,NULL,2,2021-10-08 02:36:01.133,1,09/2021,"PR  ",1
291,PR,2,SENAC - UNIDADE DE EDUCACAO PROFISSIONAL E TECNOLOGICA LONDRINA CENTRO,2347,03541088001704,1,1,0,AMANDA MARCONI,4335725500,LONDRINA@PR.SENAC.BR,2,fixa,1,894,RUA RAPOSO TAVARES,NULL,86010580,CENTRO,LONDRINA,NULL,2,2021-10-08 02:36:01.133,1,09/2021,"PR  ",1
292,PR,3,SENAC - UNIDADE DE EDUCACAO PROFISSIONAL E TECNOLOGICA DE MARINGA,2345,03541088001623,1,1,0,ANTONIO CARLOS AROCA,4432185100,MARINGA@PR.SENAC.BR,3,fixa,1,6225,AV. COLOMBO,ZONA 07,87020000,CENTRO,MARINGA,NULL,2,2021-10-08 02:36:01.133,1,09/2021,"PR  ",1
293,PR,4,SENAC - UNIDADE DE EDUCACAO PROFISSIONAL E TECNOLOGICA DE CASCAVEL,750,03541088000490,1,1,0,SUSANA CECILIA MARONEZE BONFANTE,4533921200,CASCAVEL@PR.SENAC.BR,4,fixa,1,2283,RUA RECIFE,NULL,85810031,CENTRO,CASCAVEL,NULL,2,2021-10-08 02:36:01.133,1,09/2021,"PR  ",1
294,PR,5,SENAC - UNIDADE DE EDUCACAO PROFISSIONAL E TECNOLOGICA DE APUCARANA,798,03541088003162,1,1,0,LUCAS SALVALAGGIO DA SILVA,4334202800,APUCARANA@PR.SENAC.BR,5,fixa,1,185,GASTAO VIDIGAL,NULL,86800050,JABOTI,APUCARANA,NULL,2,2021-10-08 02:36:01.133,1,09/2021,"PR  ",1
295,PR,6,SENAC - UNIDADE DE EDUCACAO PROFISSIONAL E TECNOLOGICA DE FOZ DO IGUACU,757,03541088001895,1,1,0,LUCIO MARCELO CHRESTENZEN,4535216200,FOZDOIGUACU@PR.SENAC.BR,6,fixa,1,160,RUA JOAO ROUVER,NULL,85851300,CENTRO,FOZ DO IGUACU,NULL,3,2021-10-08 02:36:01.133,1,09/2021,"PR  ",1
296,PR,7,SENAC - UNIDADE DE EDUCACAO PROFISSIONAL E TECNOLOGICA DE GUARAPUAVA,759,03541088000309,1,1,0,MARTA GAVANSKI HARMATIUKA,4236267500,GUARAPUAVA@PR.SENAC.BR,7,fixa,1,3899,RUA PADRE CHAGAS,C.P. 787,85010020,CENTRO,GUARAPUAVA,NULL,2,2021-10-08 02:36:01.133,1,09/2021,"PR  ",1
297,PR,8,SENAC - UNIDADE DE EDUCACAO PROFISSIONAL E TECNOLOGICA DE PONTA GROSSA,761,03541088001119,1,1,0,MERI TEREZINHA MESSIAS TEIXEIRA,4232286600,PONTAGROSSA@PR.SENAC.BR,8,fixa,1,313,AV. JOAO MANOEL DOS SANTOS RIBAS,NULL,84051410,CENTRO,PONTA GROSSA,NULL,2,2021-10-08 02:36:01.133,1,09/2021,"PR  ",1
298,PR,9,SENAC - UNIDADE DE EDUCACAO PROFISSIONAL E TECNOLOGICA DE PATO BRANCO,765,03541088000570,1,1,0,VANDERLEI PINHEIRO CORREIA,4632723700,PATOBRANCO@PR.SENAC.BR,9,fixa,1,385,AV. TUPI,NULL,85504000,BORTOT,PATO BRANCO,NULL,2,2021-10-08 02:36:01.133,1,09/2021,"PR  ",1
299,PR,10,SENAC - UNIDADE DE EDUCACAO PROFISSIONAL E TECNOLOGICA DE UMUARAMA,795,03541088001461,1,1,0,TIAGO TEIXEIRA TITERICZ,4436215700,UMUARAMA@PR.SENAC.BR,10,fixa,1,5238,AV. DUQUE DE CAXIAS,NULL,87504040,ARMAZEM,UMUARAMA,NULL,2,2021-10-08 02:36:01.133,1,09/2021,"PR  ",1
300,PR,11,SENAC - UNIDADE DE EDUCACAO PROFISSIONAL E TECNOLOGICA DE CAMPO MOURAO,744,03541088001038,1,1,0,REGINALDO INACIO COELHO,4435185600,CAMPOMOURAO@PR.SENAC.BR,11,fixa,1,1651,RUA SAO JOSAFAT,NULL,87302170,CENTRO,CAMPO MOURAO,NULL,2,2021-10-08 02:36:01.133,1,09/2021,"PR  ",1
